Year,total_flights,avg_departure_delay,avg_arrival_delay,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft_delay,cancelled_flights,delayed_flights_15min
1990,5270893,6.909441048896845,6.809947215568879,,,,,,52458,700723
1991,5076925,5.753782318979935,4.7364446352051,,,,,,43505,578004
1992,5092157,5.688272090624905,4.879557758977484,,,,,,52836,564312
1993,5070501,6.1225809554677015,5.344062373570666,,,,,,59845,601211
1994,5180048,6.659921522427361,5.662489742613603,,,,,,66740,663220
1995,5327435,8.2787656646032,7.02406413120822,,,,,,91905,827934
1996,5351983,9.991074667743353,9.673284221413669,,,,,,128536,973948
1997,5411843,8.235566081052605,7.490578364877097,,,,,,97763,846870
1998,5384721,9.024560838378285,7.586967680246473,,,,,,144509,870395
1999,5527884,9.337100845191832,8.246601037533837,,,,,,154311,937273
2000,5683047,11.280681830795308,10.47288610025754,,,,,,187490,1131663
2001,5967780,8.154837497311119,5.528248731190621,,,,,,231198,953808
2002,5271359,5.532276225189268,3.191243511752912,,,,,,65143,717368
2003,6488539,5.248100928907934,3.5965781261567358,13.09898145330604,3.0385445226164456,18.135882172145248,0.12251460691682046,15.355200765783195,101469,834389
2004,7129270,7.892314275500168,6.508066211497323,13.249748309930206,3.5440353850559085,17.217186544729774,0.12608705134618142,17.283223968633564,127757,1187594
2005,7140593,8.674249660654143,7.1812613911239085,14.625069574043154,3.2152689104977688,16.40187399731526,0.09620657761189146,17.842063511552045,133730,1279403
2006,7141922,10.093642182864127,8.682840263045692,15.013765701435501,3.0044765300949456,15.85275669947517,0.13702626433192178,19.959812743378833,121934,1424777
2007,7455458,11.399991829627435,10.193001218693265,15.979280809388756,3.1847055588937634,15.6369385619292,0.0980838434880168,21.067823226690496,160809,1572978
2008,7009726,9.972570088930185,8.16845238729114,15.772063342154539,3.039031044738922,17.164622704929045,0.07497433980331006,20.770981186894762,137432,1327748
2009,6450285,7.980500463694879,4.788406644451251,15.190220210656271,2.700820331481555,16.597295549164073,0.06470227072744701,19.626120424727166,89377,1085978
2010,6450117,8.261324893476784,4.1020956157097155,16.356938216879286,2.3706272278795186,13.81337902295036,0.09142179142791977,21.209117666084467,113255,1113852
2011,6085281,8.455795560714614,4.697800501905658,16.716559206827448,2.3051063546066572,13.788265673879508,0.07329944353943517,22.68708914181094,115978,1044282
2012,6096762,7.794122077601558,3.1555962893944614,17.894215481727958,2.245768638970486,12.637266317164418,0.07196121194927303,23.217619326252663,78862,993110
2013,6369482,9.745789966900823,6.0108718053587396,16.652706225670222,2.3431867118052243,13.729757964573539,0.08166144978598058,23.868733932782206,96012,1231356
2014,5819811,10.642124222121929,7.32807308706817,17.137387467272006,2.409191086376122,13.31654666400114,0.05267918176776347,23.767286187816808,126984,1195372
2023,4664550,12.154960662200192,6.160964578782913,25.723233780283902,3.572525106820094,11.980978920106221,0.15187030783857317,28.490817296659344,51634,932225
2024,7079061,12.677046863546451,7.098219058132462,24.706312018781155,4.273121953372634,13.53272495041257,0.12409135675092635,28.948086986987278,96315,1443141
