Month,total_flights,avg_departure_delay,avg_arrival_delay,cancelled_flights,avg_distance
1,12958937,9.458531943758087,7.5683933404872406,409756,718.0293181454617
2,11935061,8.602972301653413,6.5950089894578,330522,719.9388640745103
3,13370613,8.730006894614146,6.446692086573224,242176,725.6415423137275
4,12930494,7.25063452214059,5.065104151334593,167008,724.3405174620556
5,13844626,7.8583057624428925,5.679999668590451,175714,730.311016852315
6,13797308,11.406044201565358,9.967838715571853,232787,739.3374585100231
7,14285912,11.392360765276154,9.599144998686539,243738,744.1019236993748
8,14286158,9.430366156906672,7.429511907655062,227052,740.8891635525802
9,13283692,5.5690518004935035,2.9210545558436527,295201,729.5874748526238
10,13769021,6.274255033758392,3.8435464932983257,170836,728.016685136873
11,13057807,6.451491957030575,3.415033835645642,141111,731.3643228146963
12,13477804,11.400173745702142,9.166828424015533,291886,738.8872762951581
