Reporting_Airline,total_flights,avg_departure_delay,avg_arrival_delay,cancelled_flights,cancellation_rate,delay_rate_15min
WN,24631233,10.015258997423537,5.438494877469888,234756,0.95,20.41
DL,20686802,7.845130525462134,6.092097342410214,303816,1.47,14.58
AA,18255869,9.447643192993628,7.438591453241923,348321,1.91,16.3
UA,15810505,10.082950189405674,7.367582040215071,329088,2.08,17.66
US,15235232,6.689870433952972,5.376845719421185,306712,2.01,14.49
NW,9594295,6.0377614270044635,5.274891734457275,203273,2.12,13.29
CO,7898181,7.736856015688968,6.897845262816976,107950,1.37,14.63
OO,7887663,7.593251657877882,5.695647334300033,153160,1.94,15.66
MQ,7016613,9.029789529311419,7.8192953666052025,250314,3.57,18.84
EV,4819510,13.093066360930242,9.791988457747783,142490,2.96,22.59
AS,3972135,6.773341401798567,5.75911459203014,66298,1.67,16.31
XE,3459389,8.555903312931383,8.651180140671611,79711,2.3,16.73
HP,3214824,8.513354087946098,7.836602882787239,52796,1.64,16.29
TW,3135807,7.743733449679711,6.666421109158676,62226,1.98,15.11
B6,2563228,12.688567512309303,9.226485994259765,38209,1.49,21.75
FL,2485709,8.28644653703509,6.651554378295502,24596,0.99,17.73
OH,2125933,9.968555876722803,7.830007897070792,63735,3.0,18.84
YV,1704176,9.542677420697473,7.947759181061754,47451,2.78,17.95
9E,1679639,7.067892594156447,3.2351057874059697,42713,2.54,14.32
F9,1163863,11.28707718843434,9.899773138168388,11729,1.01,21.06
