route,Origin,Dest,total_flights,avg_departure_delay,avg_arrival_delay,avg_distance,cancelled_flights
SFO → LAX,SFO,LAX,394343,9.896731943333629,8.12445261450854,337.0,15521
LAX → SFO,LAX,SFO,392261,12.203695735322258,10.570188691290008,337.0,15812
LAX → LAS,LAX,LAS,349316,8.79033868009935,7.534667777413331,236.0,4708
LAS → LAX,LAS,LAX,343923,8.887475068276869,7.591327801441429,236.0,4531
PHX → LAX,PHX,LAX,314343,9.210723925025388,7.447055916935674,370.0,6474
LAX → PHX,LAX,PHX,313404,9.298491375790835,7.540833167205375,370.0,7248
LGA → ORD,LGA,ORD,288688,9.097007336781212,7.59171543559394,733.0,14442
ORD → LGA,ORD,LGA,282256,12.341935123666994,11.033900526501046,733.0,13755
ORD → MSP,ORD,MSP,277837,9.135097073486627,7.889036344442785,334.0,12310
PHX → LAS,PHX,LAS,276957,9.233046132673543,7.6578662175520735,255.8668060384826,3757
LAS → PHX,LAS,PHX,276558,9.011368495554391,7.2520024486665005,255.86672958294474,5304
MSP → ORD,MSP,ORD,275224,7.912935323383087,7.963398005743597,334.0,12354
HOU → DAL,HOU,DAL,265665,9.641804064567822,7.431861849565312,239.0,11190
DAL → HOU,DAL,HOU,251839,9.13187094536276,7.351899363770126,239.0,9688
EWR → ORD,EWR,ORD,237920,12.278528224460418,11.211875903678985,719.0,13306
ATL → DFW,ATL,DFW,236063,9.970483515533868,8.564350424348051,731.8385092115253,4663
DFW → ATL,DFW,ATL,234353,10.17914598161555,9.463835104152183,731.8373308641238,4963
ORD → DFW,ORD,DFW,233101,10.496604561302197,7.295894489585804,802.0,7973
LAX → ORD,LAX,ORD,232918,9.613984750670742,6.041761444412871,1744.9078731570796,7091
ORD → LAX,ORD,LAX,232637,12.999091134795776,8.465116279069761,1744.9092276808956,7102
ORD → EWR,ORD,EWR,230180,15.168495254561583,15.354130733543025,719.0,12808
DFW → ORD,DFW,ORD,228340,11.011143021773321,9.709117458411228,802.0,7978
LGA → BOS,LGA,BOS,226377,2.196783867343813,0.2631278167541706,184.85215370819506,11084
BOS → LGA,BOS,LGA,225352,2.890912312936904,2.0930910586047498,184.85134811317394,11178
LAX → JFK,LAX,JFK,223488,8.347206686128446,4.0869110473719985,2475.0,3587
JFK → LAX,JFK,LAX,223141,8.593268131357549,3.0026802796257703,2475.0,3659
OAK → LAX,OAK,LAX,222342,8.956303014724751,6.598597926770392,337.0,4487
LAX → OAK,LAX,OAK,221470,9.136751585311899,6.474067824739988,337.0,4485
BOS → DCA,BOS,DCA,218799,5.4425654842657405,2.9389330057891634,399.0,8069
DCA → BOS,DCA,BOS,217696,5.835929635054592,4.338256162295689,399.0,8220
